V_in,I_in,V_i,V_2x
0.0009341277,1.024036e-05,0.005724,0.009636
0.001974196,1.064747e-05,0.00676,0.011654
0.002969437,1.1054e-05,0.007851,0.013712
0.003971707,1.14605e-05,0.00877,0.015723
0.004969595,1.186751e-05,0.009805,0.017829
0.005970496,1.227548e-05,0.010776,0.019787
0.006972126,1.268287e-05,0.011831,0.02189
0.00797303,1.309027e-05,0.012854,0.023779
0.008970185,1.349596e-05,0.013781,0.025435
0.009970814,1.390277e-05,0.014848,0.026909
0.01097381,1.431052e-05,0.015799,0.02877
0.01197316,1.471681e-05,0.016802,0.030639
0.01297562,1.512407e-05,0.017833,0.032766
0.01397333,1.553042e-05,0.018853,0.034785
0.01497504,1.594043e-05,0.019968,0.036815
0.01597951,1.634785e-05,0.020988,0.03897
0.01697895,1.675489e-05,0.021926,0.040924
0.01798194,1.71606e-05,0.023151,0.04289
0.01898293,1.756933e-05,0.024041,0.044972
0.01998293,1.797603e-05,0.024984,0.046978
0.02098657,1.838417e-05,0.025938,0.04919
0.02198922,1.879175e-05,0.026732,0.051663
0.0229892,1.919849e-05,0.027699,0.054443
0.023991,1.960578e-05,0.028472,0.056642
0.02499356,2.00149e-05,0.02937,0.058644
0.0259918,2.042038e-05,0.030108,0.060683
0.0269928,2.082747e-05,0.031199,0.062834
0.02799121,2.123344e-05,0.032098,0.064626
0.02899187,2.164247e-05,0.033185,0.06683
0.02999485,2.204947e-05,0.034188,0.068868
0.03099356,2.245519e-05,0.035208,0.070778
0.03199513,2.286247e-05,0.036299,0.07282
0.03299646,2.326952e-05,0.037302,0.07477
0.03399399,2.367496e-05,0.038378,0.076643
0.03499616,2.408202e-05,0.039566,0.078133
0.03599652,2.449003e-05,0.040364,0.079592
0.03699679,2.489615e-05,0.04131,0.081702
0.03799751,2.530355e-05,0.042378,0.083797
0.03900004,2.571241e-05,0.043437,0.085739
0.03999954,2.611901e-05,0.044243,0.087918
0.0410021,2.652569e-05,0.045496,0.089731
0.04200245,2.693118e-05,0.046406,0.091987
0.0430042,2.734071e-05,0.047365,0.093848
0.04400619,2.774721e-05,0.048304,0.096015
0.04500479,2.815403e-05,0.049677,0.097928
0.04600855,2.856076e-05,0.050451,0.099737
0.04701216,2.896998e-05,0.051591,0.101582
0.04801297,2.937626e-05,0.052932,0.103226
0.04901506,2.978407e-05,0.054149,0.105324
0.05001798,3.019263e-05,0.055406,0.107399
0.05101645,3.0598e-05,0.057009,0.109361
0.05201798,3.100577e-05,0.058378,0.111419
0.0530161,3.141192e-05,0.059764,0.113329
0.05401728,3.182011e-05,0.061323,0.115419
0.05501847,3.222775e-05,0.062105,0.117526
0.05601662,3.263355e-05,0.063261,0.11952
0.05701999,3.304043e-05,0.064872,0.121631
0.05801795,3.344602e-05,0.065601,0.123625
0.05901669,3.385237e-05,0.067031,0.125377
0.06001741,3.425973e-05,0.067986,0.126985
0.06101803,3.466809e-05,0.069505,0.128556
0.06201667,3.50748e-05,0.070137,0.130445
0.0630178,3.547994e-05,0.071338,0.132604
0.06401722,3.588864e-05,0.072578,0.134485
0.06501785,3.629539e-05,0.073303,0.136665
0.0660222,3.6704e-05,0.074419,0.138606
0.06702048,3.711068e-05,0.075442,0.140568
0.06802307,3.751848e-05,0.076353,0.142699
0.06902488,3.79259e-05,0.077162,0.144778
0.07002419,3.83324e-05,0.078117,0.146804
0.07102782,3.874089e-05,0.078939,0.14877
0.0720301,3.91498e-05,0.080035,0.151086
0.07303055,3.955701e-05,0.080768,0.153958
0.0740319,3.996383e-05,0.081755,0.156343
0.07503446,4.037037e-05,0.082701,0.158385
0.07603661,4.077806e-05,0.083628,0.160488
0.07703678,4.118613e-05,0.084562,0.162317
0.07804178,4.15937e-05,0.085215,0.164557
0.07903912,4.200052e-05,0.085993,0.166527
0.08003997,4.240855e-05,0.086887,0.168489
0.08103679,4.281384e-05,0.087862,0.170607
0.08203985,4.322151e-05,0.088945,0.172618
0.08304055,4.362775e-05,0.089546,0.174543
0.08403875,4.403408e-05,0.091068,0.176561
0.0850401,4.444263e-05,0.092116,0.178124
0.08604052,4.484848e-05,0.093167,0.179639
0.08703897,4.525476e-05,0.09438,0.181415
0.08803944,4.566291e-05,0.095451,0.183401
0.08904061,4.607096e-05,0.096156,0.185609
0.09004047,4.647587e-05,0.097139,0.187434
0.09104031,4.688306e-05,0.098364,0.189565
0.09204064,4.728904e-05,0.099354,0.191567
0.09304142,4.769623e-05,0.100168,0.193605
0.09404449,4.810414e-05,0.101022,0.195651
0.09504384,4.851072e-05,0.102134,0.197746
0.09604702,4.891884e-05,0.103036,0.199607
0.09704975,4.932672e-05,0.10389,0.201279
0.09804908,4.973306e-05,0.105175,0.203011
0.09905105,5.014123e-05,0.105461,0.205029
