V_in,I_in,V_i,V_2x
0.1000643,5.057431e-05,0.106952,0.20704
0.1100678,5.464605e-05,0.116306,0.227016
0.1200714,5.871482e-05,0.126679,0.246553
0.1300852,6.279028e-05,0.135287,0.268302
0.1400838,6.68596e-05,0.145733,0.287247
0.1500948,7.093274e-05,0.157423,0.306837
0.1601073,7.500609e-05,0.169471,0.326902
0.1701038,7.907409e-05,0.178918,0.346254
0.1801184,8.31495e-05,0.187635,0.368132
0.1901273,8.722136e-05,0.198242,0.387029
0.2001331,9.129169e-05,0.207015,0.406554
0.2099325,9.528099e-05,0.217175,0.426402
0.2199312,9.935123e-05,0.227056,0.445415
0.2299322,0.0001034203,0.235665,0.467241
0.2400107,0.0001074695,0.24605,0.486468
0.2500136,0.0001115399,0.257808,0.505965
0.2600158,0.0001156091,0.269893,0.526236
0.2700085,0.0001196757,0.279296,0.545265
0.2799992,0.0001237398,0.287795,0.567083
0.2899899,0.0001278059,0.298466,0.585895
0.3000085,0.000131882,0.307599,0.605497
0.3099978,0.0001359486,0.317879,0.625808
0.3199855,0.0001400119,0.327756,0.64493
0.3299689,0.0001440738,0.336627,0.666695
0.3399616,0.0001481383,0.346597,0.685503
0.349947,0.0001522007,0.358166,0.705347
0.3599719,0.0001562798,0.370416,0.725436
0.36996,0.0001603436,0.379842,0.744385
0.3799495,0.0001644085,0.388205,0.766263
0.3899397,0.0001684728,0.398687,0.785269
0.3999316,0.0001725402,0.408033,0.805233
0.4099382,0.0001766113,0.418107,0.825512
0.4199739,0.0001806931,0.427634,0.84461
0.4299716,0.0001847635,0.437318,0.86625
0.4399741,0.0001888323,0.447546,0.885171
0.4499758,0.0001929023,0.458588,0.905377
0.4599813,0.0001969729,0.470689,0.925136
0.4699758,0.00020104,0.480393,0.944238
0.480011,0.0002051245,0.489054,0.966152
0.4900132,0.0002091942,0.49958,0.985351
0.5000142,0.0002132627,0.508813,1.005316
0.5100186,0.0002173316,0.518981,1.024926
0.5200181,0.0002214014,0.529148,1.044008
0.5300224,0.000225472,0.537821,1.065825
0.5400437,0.0002295503,0.548242,1.085217
0.5500308,0.0002336127,0.559381,1.104932
0.5600188,0.0002376767,0.571224,1.12463
0.5700042,0.0002417397,0.58115,1.143616
0.5799939,0.0002458032,0.589593,1.165308
0.5900132,0.0002498801,0.599974,1.185216
0.5999948,0.000253941,0.609275,1.204625
0.609982,0.000258004,0.619459,1.224251
0.6199674,0.0002620693,0.62928,1.243381
0.6299577,0.0002661325,0.63871,1.264905
0.6399453,0.0002701966,0.648777,1.284974
0.6499611,0.0002742718,0.659492,1.3041
0.6599512,0.0002783361,0.671477,1.323787
0.6699464,0.0002824042,0.681612,1.342929
0.6799514,0.0002864751,0.690108,1.364593
0.6899513,0.000290544,0.700585,1.384941
0.6999526,0.0002946124,0.709951,1.403696
0.7099873,0.0002986969,0.720151,1.423629
0.7199901,0.0003027666,0.730443,1.442626
0.7299932,0.0003068371,0.739398,1.464315
0.7399869,0.0003109027,0.749449,1.484625
0.7499889,0.0003149719,0.760801,1.503687
0.7599926,0.000319042,0.77233,1.523386
0.770025,0.000323124,0.782106,1.542444
0.7800281,0.000327194,0.790953,1.563641
0.7900285,0.0003312639,0.801305,1.584342
0.8000299,0.000335334,0.810969,1.603251
0.8100196,0.0003393975,0.821387,1.622958
0.8200042,0.0003434618,0.831196,1.641871
0.8300261,0.0003475393,0.840469,1.662709
0.840013,0.0003516029,0.850677,1.684015
0.8499985,0.0003556669,0.861489,1.702819
0.8599867,0.0003597291,0.872949,1.722711
0.8699663,0.0003637902,0.883403,1.741531
0.8799565,0.0003678547,0.891999,1.761883
0.8899768,0.0003719315,0.902017,1.783523
0.8999615,0.0003759942,0.911685,1.8025
0.90995,0.0003800601,0.921772,1.822307
0.9199356,0.0003841238,0.93169,1.841369
0.9299253,0.0003881897,0.941326,1.861455
0.9399232,0.0003922581,0.9513,1.882889
0.9499574,0.0003963405,0.962366,1.902193
0.9599603,0.0004004103,0.97385,1.921795
0.9699614,0.0004044794,0.983764,1.941175
0.9799669,0.0004085517,0.992477,1.961059
0.9899668,0.0004126198,1.002625,1.982828
